name,crowder,wt_%,K,D
EGly_02p50,EGly,2.5,1807116390±242538342,140.0±2.1
EGly_05p00,EGly,5.0,690944594±45241503,141.0±2.1
EGly_07p50,EGly,7.5,1880911508±171030786,125.0±1.1
EGly_10p00,EGly,10.0,502519685±26339693,125.0±1.7
EGly_12p50,EGly,12.5,1304361951±307802294,107.0±1.4
EGly_15p00,EGly,15.0,374633387±15465012,106.0±1.6
EGly_20p00,EGly,20.0,230558524±13280067,95.0±1.5
EGly_25p00,EGly,25.0,114006433±6697142,78.0±1.1
EGly_30p00,EGly,30.0,61122903±6005821,73.0±0.79
EGly_40p00,EGly,40.0,4934965±477453,53.0±0.59
EGly_50p00,EGly,50.0,,
PEG1000_02p50,PEG1000,2.5,5276370569±1049615288,136.0±1.4
PEG1000_05p00,PEG1000,5.0,5063902379±1699936854,111.0±1.3
PEG1000_07p50,PEG1000,7.5,19933824225±5063413378,107.0±1.0
PEG1000_10p00,PEG1000,10.0,9579766267±2781471020,81.0±0.92
PEG1000_12p50,PEG1000,12.5,18402741661±8561181207,76.0±1.0
PEG1000_15p00,PEG1000,15.0,7597753856±2049580185,66.0±0.53
PEG1000_20p00,PEG1000,20.0,4225286427±1520262947,45.0±0.39
PEG1000_25p00,PEG1000,25.0,3129743650±786019012,42.0±0.35
PEG1000_30p00,PEG1000,30.0,3672100575±1299670911,27.0±0.4
PEG1000_40p00,PEG1000,40.0,344800466±99655075,15.0±0.23
PEG12000_05p00,PEG12000,5.0,5865392994±690429319,84.0±1.7
PEG12000_07p50,PEG12000,7.5,8877151811±2396020497,65.0±1.2
PEG12000_10p00,PEG12000,10.0,11569967119±3079152440,52.0±0.85
PEG12000_12p50,PEG12000,12.5,16384224651±5403746134,39.0±0.23
PEG12000_15p00,PEG12000,15.0,11819875059±3303047806,33.0±0.8
PEG12000_20p00,PEG12000,20.0,12437414258±3958028472,21.0±0.53
PEG12000_25p00,PEG12000,25.0,9966148662±2428582785,14.0±0.37
PEG12000_30p00,PEG12000,30.0,6613392238±1936549345,12.0±0.2
PEG12000_40p00,PEG12000,40.0,2155144993±644826252,5.7±0.11
PEG1500_05p00,PEG1500,5.0,6953191765±2226985549,113.0±1.4
PEG1500_07p50,PEG1500,7.5,7167784687±2126170477,83.0±0.65
PEG1500_10p00,PEG1500,10.0,6201600900±1225349048,72.0±0.62
PEG1500_12p50,PEG1500,12.5,12629608571±3650481435,61.0±0.62
PEG1500_15p00,PEG1500,15.0,7202349720±3504085337,54.0±0.39
PEG1500_20p00,PEG1500,20.0,9124853374±2620770789,42.0±0.37
PEG1500_25p00,PEG1500,25.0,4523080991±1027111986,29.0±0.2
PEG1500_30p00,PEG1500,30.0,3139587223±1319483828,22.0±0.37
PEG1500_40p00,PEG1500,40.0,308918758±28063650,14.0±0.13
PEG20000_05p00,PEG20000,5.0,6398189743±1701190301,82.0±1.0
PEG20000_07p50,PEG20000,7.5,12974801758±2159791585,68.0±0.54
PEG20000_10p00,PEG20000,10.0,8008062732±2160974133,52.0±0.5
PEG20000_12p50,PEG20000,12.5,9296269008±2927149469,38.0±0.38
PEG20000_15p00,PEG20000,15.0,10985828847±3627403533,32.0±0.33
PEG20000_20p00,PEG20000,20.0,10253760404±2606521622,22.0±0.22
PEG20000_25p00,PEG20000,25.0,8663358903±1510297514,15.0±0.23
PEG20000_30p00,PEG20000,30.0,7336426021±1862446606,9.5±0.16
PEG20000_40p00,PEG20000,40.0,1898963123±332433996,4.4±0.15
PEG200_02p50,PEG200,2.5,3556368729±675698611,140.0±2.1
PEG200_05p00,PEG200,5.0,1540173529±284643446,137.0±1.5
PEG200_07p50,PEG200,7.5,3635000517±833093882,119.0±1.7
PEG200_10p00,PEG200,10.0,2293031705±419397048,115.0±1.9
PEG200_12p50,PEG200,12.5,3017072203±526534293,99.5±0.82
PEG200_15p00,PEG200,15.0,731055964±131214944,96.0±2.2
PEG200_20p00,PEG200,20.0,290394498±22066949,84.0±0.76
PEG200_25p00,PEG200,25.0,776958740±84620064,62.0±0.62
PEG200_30p00,PEG200,30.0,131269163±10689310,47.0±0.73
PEG200_40p00,PEG200,40.0,7988237±659717,33.0±0.41
PEG200_50p00,PEG200,50.0,,
PEG3000_05p00,PEG3000,5.0,4448433337±1082248962,94.0±1.1
PEG3000_07p50,PEG3000,7.5,22433150946±5542809273,84.0±1.1
PEG3000_10p00,PEG3000,10.0,6266810319±1858501742,73.0±0.51
PEG3000_12p50,PEG3000,12.5,15964205608±4171273724,57.0±0.78
PEG3000_15p00,PEG3000,15.0,17653622183±6500189558,46.0±0.46
PEG3000_20p00,PEG3000,20.0,6962792506±2722152348,32.0±0.36
PEG3000_25p00,PEG3000,25.0,6352263297±2135944716,23.0±0.28
PEG3000_30p00,PEG3000,30.0,5633904244±1708403672,15.0±0.25
PEG3000_40p00,PEG3000,40.0,2260099005±301049045,10.0±0.16
PEG35000_05p00,PEG35000,5.0,5393144583±1180253982,81.0±1.3
PEG35000_07p50,PEG35000,7.5,10389696858±2072718392,58.0±0.74
PEG35000_10p00,PEG35000,10.0,16281404599±4622737793,42.0±0.63
PEG35000_12p50,PEG35000,12.5,11061000089±2826854496,34.0±0.53
PEG35000_15p00,PEG35000,15.0,13246771851±4184770739,26.0±0.52
PEG35000_20p00,PEG35000,20.0,16045002122±6290385077,17.0±0.16
PEG35000_25p00,PEG35000,25.0,10494627126±2629979656,9.6±0.19
PEG35000_30p00,PEG35000,30.0,11934485126±2783328120,6.5±0.22
PEG35000_40p00,PEG35000,40.0,2575455194±421142600,3.1±0.13
PEG400_02p50,PEG400,2.5,3739836257±430866453,140.0±2.1
PEG400_05p00,PEG400,5.0,2855446714±621488693,135.0±1.4
PEG400_07p50,PEG400,7.5,4297312239±779314402,126.0±1.7
PEG400_10p00,PEG400,10.0,2336802021±346119390,111.0±1.1
PEG400_12p50,PEG400,12.5,4494653020±453859884,91.0±1.2
PEG400_15p00,PEG400,15.0,1412517480±125038353,85.0±1.4
PEG400_20p00,PEG400,20.0,1293569818±76735855,64.0±0.88
PEG400_25p00,PEG400,25.0,524660667±57720691,52.0±0.59
PEG400_30p00,PEG400,30.0,366683032±18903669,42.0±0.47
PEG400_40p00,PEG400,40.0,40014225±4051911,21.0±0.35
PEG400_50p00,PEG400,50.0,1004350±96516,17.0±0.26
PEG6000_05p00,PEG6000,5.0,4831404706±1354109892,90.0±1.7
PEG6000_07p50,PEG6000,7.5,13612040868±2751263790,74.0±0.64
PEG6000_10p00,PEG6000,10.0,8411592509±2138594212,60.0±0.71
PEG6000_12p50,PEG6000,12.5,25936828588±8848440832,48.0±0.33
PEG6000_15p00,PEG6000,15.0,10953174803±2950196156,40.0±0.56
PEG6000_20p00,PEG6000,20.0,10067263392±3120032135,28.0±0.35
PEG6000_25p00,PEG6000,25.0,5102415163±1184476148,17.0±0.24
PEG6000_30p00,PEG6000,30.0,7353056001±1876732431,12.0±0.14
PEG6000_40p00,PEG6000,40.0,1225097035±299784185,6.8±0.17
PEG600_02p50,PEG600,2.5,4873315996±1019689509,140.0±2.1
PEG600_05p00,PEG600,5.0,2574808701±638894041,118.0±1.0
PEG600_07p50,PEG600,7.5,3614349642±629908547,100.0±0.81
PEG600_10p00,PEG600,10.0,4195042738±753503189,96.0±0.86
PEG600_12p50,PEG600,12.5,3968476349±714896882,84.0±1.0
PEG600_15p00,PEG600,15.0,3126106031±888016828,77.0±1.2
PEG600_20p00,PEG600,20.0,1993571929±378111161,61.0±0.53
PEG600_25p00,PEG600,25.0,2220715353±172119578,43.0±0.65
PEG600_30p00,PEG600,30.0,1426498555±143752527,36.0±0.47
PEG600_40p00,PEG600,40.0,55790006±6922027,17.0±0.21
PEG600_50p00,PEG600,50.0,1265426±66440,11.0±0.13
